#sample	GROUP
SRR5649815.fastq	Control
SRR5649816.fastq	Control
SRR5649817.fastq	Control
SRR5649818.fastq	Control
SRR5649819.fastq	Treatment
SRR6248802	Control
SRR6248803	Control
SRR6248804	Control
SRR6248805	Control
SRR6248806	Control
SRR6248807	Control
SRR6248808	Control
SRR6248809	Control
SRR6248810	Control
SRR6248811	Control
SRR6248812	Control
SRR6248813	Control
SRR6248814	Treatment
SRR6248815	Treatment
SRR6248816	Treatment
SRR6248817	Control
SRR6248818	Treatment
SRR6248819	Treatment
SRR6248820	Treatment
SRR6248821	Treatment
SRR6248822	Treatment
SRR6248823	Treatment
SRR6248824	Treatment
SRR6248825	Control
SRR6248826	Control
SRR6248827	Control
SRR6248828	Control
SRR6248829	Control
SRR6248830	Control
SRR6248831	Control
SRR6248832	Control
SRR6248833	Treatment
SRR6248834	Treatment
SRR6248835	Treatment
SRR6248836	Treatment
SRR6248837	Treatment
SRR6248838	Treatment
SRR6248839	Treatment
SRR6248840	Treatment
SRR6952789.fastq	Control
SRR6952812.fastq	Control
SRR6952813.fastq	Control
SRR6952874.fastq	Control
SRR6952875.fastq	Control
SRR6952885.fastq	Control
SRR6952886.fastq	Control
SRR6952887.fastq	Control
SRR6952888.fastq	Control
SRR6952889.fastq	Control
SRR6952890.fastq	Control
SRR6952891.fastq	Control
SRR6952892.fastq	Control
SRR6952893.fastq	Control
SRR6952894.fastq	Control
SRR6952899.fastq	Control
SRR6952900.fastq	Control
SRR6952901.fastq	Control
SRR6952902.fastq	Control
SRR6952903.fastq	Control
SRR6952904.fastq	Control
SRR6952905.fastq	Control
SRR6952906.fastq	Control
SRR6952907.fastq	Control
SRR6952908.fastq	Control
SRR6952925.fastq	Control
SRR6952963.fastq	Control
SRR6952964.fastq	Control
SRR6952965.fastq	Control
SRR6952967.fastq	Control
SRR6952968.fastq	Control
SRR6952969.fastq	Control
SRR6952972.fastq	Control
SRR6952978.fastq	Control
SRR6952998.fastq	Control
SRR6952999.fastq	Control
SRR6953000.fastq	Control
SRR6953001.fastq	Control
SRR6953002.fastq	Control
SRR6953003.fastq	Control
SRR6953006.fastq	Control
SRR6953007.fastq	Control
SRR6953008.fastq	Control
SRR6953009.fastq	Control
SRR6953010.fastq	Control
SRR6953011.fastq	Control
SRR6953012.fastq	Control
SRR6953013.fastq	Control
SRR6953014.fastq	Control
SRR6953015.fastq	Control
SRR6953195.fastq	Control
SRR6953196.fastq	Control
SRR6953199.fastq	Control
SRR6953200.fastq	Control
SRR6953201.fastq	Control
SRR6953202.fastq	Control
SRR6953203.fastq	Control
SRR6953204.fastq	Control
SRR6953205.fastq	Control
SRR6953206.fastq	Control
SRR6853551	Treatment
SRR6853552	Treatment
SRR6853553	Treatment
SRR6853554	Treatment
SRR6853555	Treatment
SRR6853556	Treatment
SRR6853557	Treatment
SRR6853558	Treatment
SRR6853559	Treatment
SRR6853560	Treatment
SRR6853561	Control
SRR6853562	Control
SRR6853563	Control
SRR6853564	Control
SRR6853565	Control
SRR6853566	Treatment
SRR6853567	Treatment
SRR6853568	Control
SRR6853569	Control
SRR6853570	Treatment
SRR6853571	Treatment
SRR6853572	Treatment
SRR6853573	Treatment
SRR6853574	Treatment
SRR6853575	Treatment
SRR6853576	Treatment
SRR6853577	Treatment
SRR6853578	Treatment
SRR6853579	Treatment
SRR6853580	Treatment
SRR6853581	Treatment
SRR6853582	Treatment
SRR6853583	Treatment
SRR6853584	Treatment
SRR6853585	Treatment
SRR6853586	Treatment
SRR6853587	Treatment
SRR6853588	Control
SRR6853589	Control
SRR6853590	Control
SRR6853591	Treatment
SRR6853592	Treatment
SRR6853593	Treatment
SRR6853594	Treatment
SRR6853595	Treatment
SRR6853596	Treatment
SRR6853597	Treatment
SRR6853598	Treatment
SRR6853599	Treatment
SRR6853600	Treatment
SRR6853601	Treatment
SRR6853602	Treatment
SRR6853603	Treatment
SRR6853604	Treatment
SRR6853605	Control
SRR6853606	Control
SRR6853607	Treatment
SRR6853608	Control
SRR6853609	Control
SRR6853610	Control
SRR8116678	Treatment
SRR8116679	Treatment
SRR8116680	Treatment
SRR8116681	Treatment
SRR8116682	Treatment
SRR8116683	Treatment
SRR8116684	Treatment
SRR8116685	Treatment
SRR8116686	Treatment
SRR10606911	Control
SRR10606912	Control
SRR10606913	Control
SRR10606914	Control
SRR10606915	Control
SRR10606916	Control
SRR10606917	Treatment
SRR10606918	Treatment
SRR10606919	Treatment
SRR10606920	Treatment
SRR10606921	Treatment
SRR10606922	Treatment
SRR10606923	Treatment
SRR10606924	Treatment
SRR10606925	Treatment
SRR10606926	Treatment
SRR10606927	Treatment
SRR10606928	Treatment
SRR10606929	Treatment
SRR10606930	Treatment
SRR10606931	Treatment
SRR10606932	Treatment
SRR10606933	Treatment
SRR10606934	Treatment
SRR10606935	Treatment
SRR10606936	Treatment
SRR10606937	Treatment
SRR10606938	Treatment
SRR10606939	Treatment
SRR10606940	Treatment
SRR10606941	Treatment
SRR10606942	Treatment
SRR10606943	Treatment
SRR10606944	Treatment
SRR10606945	Treatment
SRR10606946	Treatment
SRR10606947	Treatment
SRR10606948	Treatment
SRR10606949	Treatment
SRR10606950	Treatment
SRR10606951	Treatment
SRR10606952	Treatment
SRR10606953	Treatment
SRR10606954	Treatment
SRR10606955	Treatment
SRR10606956	Treatment
SRR10606957	Treatment
SRR10606958	Treatment
SRR10606959	Treatment
SRR10606960	Treatment
SRR10606961	Treatment
SRR10606962	Treatment
SRR10606963	Treatment
SRR10606964	Treatment
SRR10606965	Control
SRR10606966	Control
SRR10606967	Control
SRR10606968	Control
SRR10606969	Control
SRR10606970	Control
SRR10606971	Control
SRR10606972	Control
SRR10606973	Control
SRR10606974	Control
SRR10606975	Control
SRR10606976	Control
SRR11638023	Control
SRR11638024	Control
SRR11638025	Control
SRR11638026	Control
SRR11638027	Control
SRR11638028	Control
SRR11638029	Control
SRR11638030	Control
SRR11638032	Control
SRR11638033	Control
SRR11638034	Control
SRR13222698	Treatment
SRR13222699	Treatment
SRR13222700	Treatment
SRR13222702	Treatment
SRR13222703	Treatment
SRR13222704	Treatment
SRR13222705	Treatment
SRR13222706	Treatment
SRR13222707	Treatment
SRR13222708	Treatment
SRR13222732	Treatment
SRR13222733	Treatment
SRR13222734	Treatment
SRR13222735	Treatment
SRR13222736	Treatment
SRR6221953	Treatment
SRR6221954	Treatment
SRR6221955	Treatment
SRR6221956	Treatment
SRR6221957	Treatment
SRR6221958	Treatment
SRR6221959	Treatment
SRR6221960	Treatment
SRR6221961	Treatment
SRR6221962	Treatment
SRR6221963	Treatment
SRR6221964	Treatment
SRR6221965	Treatment
SRR6221966	Treatment
SRR6221967	Treatment
SRR6221968	Treatment
SRR6221969	Treatment
SRR6221970	Treatment
SRR6221971	Treatment
SRR6221972	Treatment
SRR6221973	Treatment
SRR6221975	Treatment
SRR6221976	Treatment
SRR6221977	Treatment
SRR6221978	Control
SRR6221979	Control
SRR6221980	Control
SRR6221981	Control
SRR6221982	Control
SRR6221983	Control
SRR6221984	Treatment
SRR6221985	Treatment
SRR6221986	Treatment
SRR6221987	Treatment
SRR6221990	Control
SRR6221991	Control
SRR6221992	Control
SRR6221993	Control
SRR6221994	Control
SRR6221995	Control
SRR6221998	Treatment
SRR6221999	Treatment
SRR6222000	Treatment
SRR6222001	Treatment
SRR6222006	Treatment
SRR6222007	Treatment
SRR11355175	Treatment
SRR11355176	Treatment
SRR11355177	Treatment
SRR11355178	Treatment
SRR11355179	Treatment
SRR11355180	Treatment
SRR11355181	Treatment
SRR11355182	Treatment
SRR11355183	Control
SRR11355184	Treatment
SRR11355185	Treatment
SRR11355186	Treatment
SRR11355187	Treatment
SRR11355188	Treatment
SRR11355189	Treatment
SRR11355190	Treatment
SRR11355191	Treatment
SRR11355192	Treatment
SRR11355193	Treatment
SRR11355194	Control
SRR11355195	Treatment
SRR11355196	Treatment
SRR11355197	Treatment
SRR11355198	Treatment
SRR11355199	Treatment
SRR11355200	Treatment
SRR11355201	Treatment
SRR11355202	Treatment
SRR11355203	Treatment
SRR11355204	Treatment
SRR11355205	Control
SRR11355206	Treatment
SRR11355207	Treatment
SRR11355208	Treatment
SRR11355209	Treatment
SRR11355210	Treatment
SRR11355211	Treatment
SRR11355212	Treatment
SRR11355213	Treatment
SRR11355214	Treatment
SRR11355215	Treatment
SRR11355216	Control
SRR11355217	Control
SRR11355218	Control
SRR11355219	Control
SRR11355220	Control
SRR11355221	Control
SRR11355222	Control
SRR11355223	Control
SRR11355224	Control
SRR11355225	Control
SRR11355226	Control
SRR11355227	Control
SRR11355228	Control
SRR11355229	Control
SRR11355230	Control
SRR11355231	Control
SRR11355232	Control
SRR11355233	Control
SRR11355234	Control
SRR11355235	Control
SRR11355236	Treatment
SRR11355237	Treatment
SRR11355238	Treatment
SRR11355239	Treatment
SRR11355240	Treatment
SRR11355241	Treatment
SRR11355242	Treatment
SRR11355243	Treatment
SRR11355244	Treatment
SRR11355245	Treatment
SRR11355246	Control
SRR11355247	Treatment
SRR11355248	Treatment
SRR11355249	Treatment
SRR11355250	Treatment
SRR11355251	Treatment
SRR11355252	Treatment
SRR11355253	Treatment
SRR11355254	Treatment
SRR11355255	Treatment
SRR11355256	Treatment
SRR11355257	Treatment
SRR11355258	Treatment
SRR11355259	Treatment
SRR11355260	Treatment
SRR11355261	Treatment
SRR11355262	Treatment
SRR11355263	Treatment
SRR11355264	Treatment
SRR11355265	Control
SRR11355266	Treatment
SRR11355267	Treatment
SRR11355268	Treatment
SRR11355269	Treatment
SRR11355270	Treatment
SRR11355271	Treatment
SRR11355272	Treatment
SRR11355273	Treatment
SRR11355274	Treatment
SRR11355275	Treatment
SRR11355276	Control
SRR11355277	Treatment
SRR11355278	Treatment
SRR11355279	Treatment
SRR11355280	Treatment
SRR11355281	Treatment
SRR11355282	Treatment
SRR11355283	Treatment
SRR11355284	Treatment
SRR11355285	Treatment
SRR11355286	Treatment
SRR11355287	Control
SRR11355288	Treatment
SRR11355289	Treatment
SRR11355290	Treatment
SRR11355291	Treatment
SRR11355292	Control
SRR11355293	Control
SRR11355294	Control
